acteurs,date,descriptions,duree,episode,genre,langue,nb_saison,pays,public,score,titre,titre_original,url
"Peter Morgan,Claire Foy,Olivia Colman,Imelda Staunton",2016– ,Follows the political rivalries and romance of Queen Elizabeth II's reign and the events that shaped the second half of the twentieth century.,58,60,"Biography,Drama,History",,6 seasons,United Kingdom,TV-MA,9,The Crown,,
"Jeremy Clarkson,James May,Richard Hammond",2016– ,"Follow Jeremy, Richard and James, as they embark on an adventure across the globe, driving new and exciting automobiles from manufacturers all over the world.",60,44,"Comedy,Sport,Talk-Show",,5 seasons,"United Kingdom,United States",TV-14,9,The Grand Tour,,
"Kentaro Miura,Marc Diraison,Nobutoshi Canna,Carrie Keranen",1997–1998,"Guts is a skilled swordsman who joins forces with a mercenary group named 'The Band of the Hawk', lead by the charismatic Griffith, and fights with them as they battle their way into the royal court.",23,25,"Animation,Action,Adventure",,1 Season,Japan,TV-14,9,Berserk,Kenpuu Denki Berserk,
"Beau Willimon,Kevin Spacey,Michel Gill,Robin Wright",2013–2018,A Congressman works with his equally conniving wife to exact revenge on the people who betrayed him.,51,73,Drama,,6 seasons,United States,TV-MA,9,House of Cards,,
"Jeremy Clarkson,Richard Hammond,James May",2002– ,"The hosts talk about everything car-related. From new cars to how they're fueled, this show has it all.",60,326,"Adventure,Comedy,Reality-TV",,33 seasons,United Kingdom,TV-PG,9,Top Gear,,
"Gene Roddenberry,Patrick Stewart,Brent Spiner,Jonathan Frakes",1987–1994,"Set almost 100 years after Captain Kirk's 5-year mission, a new generation of Starfleet officers set off in the U.S.S. Enterprise-D on its own mission to go where no one has gone before.",44,176,"Action,Adventure,Sci-Fi",,7 seasons,United States,TV-PG,9,Star Trek: The Next Generation,,
"Peter Berg,Kyle Chandler,Connie Britton,Zach Gilford",2006–2011,"A drama that follows the lives of the Dillon Panthers, one of the nation's best high school football teams, and their head coach Eric Taylor.",44,76,"Drama,Sport",,5 seasons,United States,TV-14,9,Friday Night Lights,,
"John Hawkesworth,Jeremy Brett,David Burke,Rosalie Williams",1984–1985,"Sherlock Holmes and Dr Watson solve the mysteries of copper beeches, a Greek interpreter, the Norwood builder, a resident patient, the red-headed league, and one final problem.",60,13,"Crime,Drama,Mystery",,2 seasons,United Kingdom,TV-PG,9,The Adventures of Sherlock Holmes,,
"Amy Sherman-Palladino,Rachel Brosnahan,Alex Borstein,Michael Zegen",2017– ,"After her husband leaves her, young mother of two Miriam ""Midge"" Maisel discovers that she has a talent for stand-up comedy. Could this be her calling?",57,35,"Comedy,Drama",,4 seasons,United States,TV-MA,9,The Marvelous Mrs. Maisel,,
"Dan Erickson,Adam Scott,Zach Cherry,Britt Lower",2022– ,"Mark leads a team of office workers whose memories have been surgically divided between their work and personal lives. When a mysterious colleague appears outside of work, it begins a journey to discover the truth about their jobs.",55,19,"Drama,Mystery,Sci-Fi",,1 Season,United States,TV-MA,9,Severance,,
"Matthew Weiner,Jon Hamm,Elisabeth Moss,Vincent Kartheiser",2007–2015,"A drama about one of New York's most prestigious ad agencies at the beginning of the 1960s, focusing on one of the firm's most mysterious but extremely talented ad executives, Donald Draper.",47,92,Drama,,7 seasons,United States,TV-MA,9,Mad Men,,
"Ray Chase,Zach Aguilar,Keith Silverstein",2019– ,Thorfinn pursues a journey with his father's killer in order to take revenge and end his life in a duel as an honorable warrior and pay his father a homage.,24,25,"Animation,Action,Adventure",,2 seasons,Japan,TV-MA,9,Vinland Saga,,
"Jesse Armstrong,Sam Bain,Andrew O'Connor,David Mitchell,Robert Webb,Matt King",2003–2015,Mark and Jez are a couple of twenty-something roommates who have nothing in common - except for the fact that their lives are anything but normal. Mayhem ensues as the pair strive to cope with day-to-day life.,25,54,Comedy,,9 seasons,United Kingdom,TV-MA,9,Peep Show,,
"Jitendra Kumar,Raghuvir Yadav,Chandan Roy",2020– ,"A comedy-drama, which captures the journey of an engineering graduate Abhishek, who for lack of a better job option joins as secretary of a Panchayat office in a remote village of Uttar Pradesh.",35,16,"Comedy,Drama",,2 seasons,India,TV-14,9,Panchayat,,
"Satish Shah,Ratna Pathak Shah,Sumeet Raghavan",2004–2017,"The show revolves around the lives of the members of an Uber Wealthy - High Society Gujarati family of Cuffe Parade - South Bombay, whose daughter-in-law is from a middle class Delhi background.",30,79,Comedy,,2 seasons,India,TV-PG,9,Sarabhai V/S Sarabhai,,
"Shreyansh Pandey,Jameel Khan,Geetanjali Kulkarni,Vaibhav Raj Gupta",2019– ,"Set in quaint by-lanes in the heart of India, Gullak is a collection of disarming and relatable tales of the Mishra family.",24,15,"Comedy,Drama,Family",,3 seasons,India,,9,Gullak,,
"Robert Kirkman,Ryan Ottley,Cory Walker,Steven Yeun,J.K. Simmons,Sandra Oh",2021– ,An adult animated series based on the Skybound/Image comic about a teenager whose father is the most powerful superhero on the planet.,50,13,"Animation,Action,Adventure",,2 seasons,United States,TV-MA,9,Invincible,,
"Julian Fellowes,Hugh Bonneville,Phyllis Logan,Elizabeth McGovern",2010–2015,A chronicle of the lives of the British aristocratic Crawley family and their servants in the early twentieth century.,58,52,"Drama,Romance",,6 seasons,United Kingdom,TV-PG,9,Downton Abbey,,
"Millie Bobby Brown,Finn Wolfhard,Winona Ryder",2016– ,"When a young boy disappears, his mother, a police chief and his friends must confront terrifying supernatural forces in order to get him back.",51,42,"Drama,Fantasy,Horror",,5 seasons,United States,TV-14,9,Stranger Things,,
