acteurs,date,descriptions,duree,episode,genre,langue,nb_saison,pays,public,score,titre,titre_original,url
"David Attenborough,Chadden Hunter,Gordon Buchanan",2016,David Attenborough returns with a new wildlife documentary that shows life in a variety of habitats.,298,6,Documentary,,1 Season,"United Kingdom,Germany,France,China,United States",TV-G,10,Planet Earth II,,
"Nic Pizzolatto,Vince Vaughn,Colin Farrell,Rachel McAdams",2014–2019,"Seasonal anthology series in which police investigations unearth the personal and professional secrets of those involved, both within and outside the law.",55,25,"Crime,Drama,Mystery",,3 seasons,United States,TV-MA,9,True Detective,,
"John Sullivan,David Jason,Nicholas Lyndhurst,Roger Lloyd Pack",1981–2003,Comedy that follows two brothers from London's rough Peckham estate as they wheel and deal through a number of dodgy deals and search for the big score that'll make them millionaires.,95,64,Comedy,,9 seasons,United Kingdom,TV-PG,9,Only Fools and Horses,Only Fools and Horses....,
"The Beatles,John Lennon,Paul McCartney",2021,Documentary about the music group The Beatles featuring in-studio footage that was shot in early 1969 for the 1970 feature film 'Let It Be.',468,3,"Documentary,Biography,Music",,1 Season,"United Kingdom,New Zealand,United States",PG-13,9,The Beatles: Get Back,,
"Vince Gilligan,Peter Gould,Bob Odenkirk,Rhea Seehorn,Jonathan Banks",2015–2022,The trials and tribulations of criminal lawyer Jimmy McGill in the years leading up to his fateful run-in with Walter White and Jesse Pinkman.,46,63,"Crime,Drama",,6 seasons,United States,TV-MA,9,Better Call Saul,,
"Artur Barcis,Olgierd Lukaszewicz,Olaf Lubaszenko",1989–1990,"Ten television drama films, each one based on one of the Ten Commandments.",572,10,Drama,,1 Season,"Poland,West Germany",TV-MA,9,Dekalog,,
"Larry David,Jerry Seinfeld,Jerry Seinfeld,Julia Louis-Dreyfus,Michael Richards",1989–1998,The continuing misadventures of neurotic New York City stand-up comedian Jerry Seinfeld and his equally neurotic New York City friends.,22,173,Comedy,,9 seasons,United States,TV-PG,9,Seinfeld,,
"David McCullough,Sam Waterston,Julie Harris",1990,A comprehensive survey of the American Civil War.,680,9,"Documentary,History,War",,1 Season,United States,TV-14,9,The Civil War,,
"Yoshihiro Togashi,Issei Futamata,Megumi Han,Cristina Valenzuela",2011–2014,"Gon Freecss aspires to become a Hunter, an exceptional being capable of greatness. With his friends and his potential, he seeks out his father, who left him when he was younger.",24,148,"Animation,Action,Adventure",,1 Season,"Japan,Poland",TV-14,9,Hunter x Hunter,,
"Mamoru Miyano,Brad Swaile,Vincent Tong",2006–2007,An intelligent high school student goes on a secret crusade to eliminate criminals from the world after discovering a notebook capable of killing anyone whose name is written into it.,24,37,"Animation,Crime,Drama",,1 Season,Japan,TV-14,9,Death Note,Death Note: Desu nôto,
"John Hurt,Roger Munns",2011,A cinematic experience bringing you the most amazing human stories in the world. Humans and wildlife surviving in the most extreme environments on Earth,50,8,Documentary,,1 Season,United Kingdom,TV-PG,9,Human Planet,,
"David Attenborough,Pierce Brosnan,Peter Scoones",2001,"Mammoth series, five years in the making, taking a look at the rich tapestry of life in the world's oceans.",389,8,Documentary,,1 Season,"United Kingdom,Germany",TV-G,9,The Blue Planet,,
"Josh Grelle,Bryce Papenbrook,Yûki Kaji",2013–2023,"After his hometown is destroyed and his mother is killed, young Eren Jaeger vows to cleanse the earth of the giant humanoid Titans that have brought humanity to the brink of extinction.",24,97,"Animation,Action,Adventure",,4 seasons,Japan,TV-MA,9,Attack on Titan,Shingeki no Kyojin,
"Joss Whedon,Nathan Fillion,Gina Torres,Alan Tudyk",2002–2003,"Five hundred years in the future, a renegade crew aboard a small spacecraft tries to survive as they travel the unknown parts of the galaxy and evade warring factions as well as authority agents out to get them.",44,14,"Adventure,Drama,Sci-Fi",,1 Season,United States,TV-14,9,Firefly,,
"Greg Daniels,Ricky Gervais,Stephen Merchant,Steve Carell,Jenna Fischer,John Krasinski",2005–2013,"A mockumentary on a group of typical office workers, where the workday consists of ego clashes, inappropriate behavior, and tedium.",22,188,Comedy,,9 seasons,United States,TV-14,9,The Office,,
"David Attenborough,Alec Baldwin,Chadden Hunter",2011–2012,Focuses on life and the environment in both the Arctic and Antarctic.,333,10,Documentary,,1 Season,"United Kingdom,United States,Spain,Germany,Greece,Canada",TV-PG,9,Frozen Planet,,
"Stevie Nicks,Bono,Tom Petty",2017,"""The Defiant Ones"" examines the partnership between Jimmy Iovine and Dr. Dre - one the son of a Brooklyn longshoreman, the other straight out of Compton - and their leading roles in a chain of transformative events in contemporary culture.",60,4,"Documentary,Biography,Crime",,1 Season,United States,TV-MA,8,The Defiant Ones,,
"Paul Giamatti,Laura Linney,John Dossett",2008,"The life of one of the USA's Founding Fathers, its second President, and his role in the nation's first 50 years.",71,7,"Biography,Drama,History",,1 Season,United States,TV-14,8,John Adams,,
"Mark Edward Edens,Sidney Iwanter,Eric Lewald,Cedric Smith,Cal Dodd,Lenore Zann",1992–1997,A team of mutant superheroes fight for justice and human acceptance in the Marvel Comics universe.,23,76,"Animation,Action,Adventure",,5 seasons,"United States,Canada",TV-Y7,8,X-Men: The Animated Series,X-Men,
"Tomokazu Sugita,Daisuke Sakaguchi,Rie Kugimiya",2005–2021,"In an era where aliens have invaded and taken over feudal Tokyo, an unemployed samurai finds work however he can.",25,375,"Animation,Action,Comedy",,8 seasons,Japan,TV-14,9,Gintama,,
"Gülse Birsel,Levent Üzümcü,Senay Gürler",2004–2009,,60,190,Comedy,,6 seasons,Turkey,,9,Avrupa Yakasi,,
"Dylan Moran,Dylan Moran,Bill Bailey,Tamsin Greig",2000–2004,"Bernard Black runs a book shop, though his customer service skills leave something to be desired. He hires Manny as an employee. Fran runs the shop next door. Between the three of them many adventures ensue.",25,18,Comedy,,3 seasons,United Kingdom,TV-PG,8,Black Books,,
"Lisa McGee,Saoirse-Monica Jackson,Louisa Harland,Tara Lynne O'Neill",2018–2022,The personal exploits of a 16-year-old girl and her family and friends during the Troubles in the early 1990s.,30,19,Comedy,,3 seasons,United Kingdom,TV-MA,8,Derry Girls,,
"Ann Biderman,Michael Cudlitz,Shawn Hatosy,Regina King",2009–2013,The lives of Police Officers working for the Los Angeles Police Department.,42,43,"Crime,Drama,Thriller",,5 seasons,United States,TV-MA,8,Southland,,
"Jack Amiel,Michael Begler,André Holland,Clive Owen,Jeremy Bobb",2014–2015,A look at the professional and personal lives of the staff at New York's Knickerbocker Hospital during the early part of the twentieth century.,58,21,"Drama,History",,2 seasons,United States,TV-MA,8,The Knick,,
"Paul Hollywood,Mary Berry,Prue Leith",2010– ,Bakers attempt three challenges each week trying to impress the judges enough to go through to the next round and eventually are crowned Britain's best amateur baker.,60,165,Reality-TV,,13 seasons,United Kingdom,TV-PG,9,The Great British Baking Show,The Great British Bake Off,
"David E. Kelley,Reese Witherspoon,Nicole Kidman,Shailene Woodley",2017–2019,The apparently-perfect lives of upper-class mothers of students at a prestigious elementary school unravel to the point of murder when a single mother moves to their quaint California beach town.,60,14,"Crime,Drama,Mystery",,2 seasons,United States,TV-MA,8,Big Little Lies,,
"Natsuki Hanae,Risa Taneda,Ayane Sakura",2014–2015,A piano prodigy who lost his ability to play after suffering a traumatic event in his childhood is forced back into the spotlight by an eccentric girl with a secret of her own.,23,23,"Animation,Comedy,Drama",,1 Season,Japan,TV-PG,9,Your Lie in April,Shigatsu wa kimi no uso,
"Saverio Costanzo,Alba Rohrwacher,Margherita Mazzucco,Gaia Girace",2018– ,A woman recounts the lifelong friendship and conflicts with a girl she met at primary school in Naples during the early 1950s.,60,25,Drama,,4 seasons,"Italy,United States",TV-MA,9,My Brilliant Friend,L'amica geniale,
"Reg Watson,Lara Radulovich,Kate Atkinson,Katrina Milosevic,Robbie Magasiva",2013–2021,The confronting look into the lives of the inmates and prison staff of Wentworth Correctional Centre as they navigate the ups and downs of their lives in the prison system.,45,100,"Crime,Drama,Thriller",,9 seasons,Australia,TV-MA,9,Wentworth,,
"Alexander Skarsgård,James Ransone,Lee Tergesen",2008,"A Rolling Stone reporter, embedded with The 1st Recon Marines chronicles his experiences during the first wave of the American-led assault on Baghdad in 2003.",70,7,"Drama,War",,1 Season,"United States,United Kingdom",TV-MA,8,Generation Kill,,
"James Rolfe,James Rolfe,Mike Matei,Kyle Justin",2004– ,,35,245,Comedy,,16 seasons,United States,TV-MA,8,The Angry Video Game Nerd,,
"Alfred Hitchcock,Harry Tyler,John Williams",1955–1962,"Series of unrelated short stories covering elements of crime, horror, drama, and comedy about people of different backgrounds committing murders, suicides, thefts, and other sorts of crime caused by certain motivations, perceived or not.",25,268,"Comedy,Crime,Drama",,7 seasons,United States,TV-14,8,Alfred Hitchcock Presents,,
"Massimo Bottura,Ruth Reichl,Francis Mallmann",2015–2019,"Chef's Table goes inside the lives and kitchens of six of the world's most renowned international chefs. Each episode focuses on a single chef and their unique look at their lives, talents and passion from their piece of culinary heaven.",50,30,Documentary,,6 seasons,United States,TV-MA,8,Chef's Table,,
"Richard Price,Steven Zaillian,Riz Ahmed,John Turturro,Bill Camp",2016,"After a night of partying with a woman he picked up, a man wakes up to find her stabbed to death and is charged with her murder.",525,8,"Crime,Drama,Mystery",,1 Season,United States,TV-MA,8,The Night Of,,
"J.G. Quintel,J.G. Quintel,William Salyers,Sam Marin",2009–2017,The daily surreal adventures of a blue jay and raccoon duo that attempt to deal with their mundane jobs as groundskeepers at the local park.,23,245,"Animation,Action,Adventure",,8 seasons,United States,TV-PG,8,Regular Show,,
"Daniel Abraham,Mark Fergus,Ty Franck,Steven Strait,Dominique Tipper,Wes Chatham",2015–2022,"In the 24th century, a group of humans untangle a vast plot which threatens the Solar System's fragile state of detente.",60,62,"Drama,Mystery,Sci-Fi",,6 seasons,United States,TV-14,8,The Expanse,,
"Dan Harmon,Joel McHale,Danny Pudi,Donald Glover",2009–2015,A suspended lawyer is forced to enroll in a community college with an eccentric staff and student body.,22,110,Comedy,,6 seasons,United States,TV-14,8,Community,,
"Scott Ryan,Scott Ryan,Chika Yasumura,Justin Rosniak",2018–2021,"Ray Shoesmith is a father, ex-husband, boyfriend, brother and best friend, tough roles to juggle in the modern age. Especially when you're also a criminal for hire.",30,26,"Crime,Drama",,3 seasons,Australia,TV-MA,9,Mr Inbetween,,
"Ryan J. Condal,George R.R. Martin,Rhys Ifans,Matt Smith,Fabien Frankel",2022– ,"An internal succession war within House Targaryen at the height of its power, 172 years before the birth of Daenerys Targaryen.",0,11,"Action,Adventure,Drama",,1 Season,United States,TV-MA,8,House of the Dragon,,
"Dan Levy,Eugene Levy,Eugene Levy,Catherine O'Hara,Dan Levy",2015–2020,"After being a victim of fraud, Johnny Rose and his family go from extremely wealthy to penniless overnight. The only asset left to them is a small, unsophisticated town: Schitt's Creek. They relocate there. Culture shock ensues.",22,80,Comedy,,6 seasons,"Canada,United States",TV-14,8,Schitt's Creek,,
"Serban Pavlu,Maria Obretin,Andreea Vasile",2014–2019,"Umbre follows Relu, an enforcer for a small-time mob boss, as he struggles to keep his family in the dark about his job. The secrets Relu keeps become increasingly oppressive and the lies begin to surface.",45,21,"Crime,Drama,Thriller",,3 seasons,Romania,TV-MA,9,Umbre,,
"Bryan Fuller,Hugh Dancy,Mads Mikkelsen,Caroline Dhavernas",2013–2015,Explores the early relationship between renowned psychiatrist Hannibal Lecter and a young FBI criminal profiler who is haunted by his ability to empathize with serial killers.,44,39,"Crime,Drama,Horror",,3 seasons,United States,TV-MA,8,Hannibal,,
"David X. Cohen,Matt Groening,Billy West,John DiMaggio,Katey Sagal",1999–2023,"Philip J. Fry, a pizza delivery boy, is accidentally frozen in 1999 and thawed out on New Year's Eve 2999.",22,150,"Animation,Adventure,Comedy",,11 seasons,United States,TV-14,8,Futurama,,
"Josh Heald,Jon Hurwitz,Hayden Schlossberg,Ralph Macchio,William Zabka,Courtney Henggeler",2018– ,"Decades after their 1984 All Valley Karate Tournament bout, a middle-aged Daniel LaRusso and Johnny Lawrence find themselves martial-arts rivals again.",30,50,"Action,Comedy,Drama",,5 seasons,United States,TV-14,8,Cobra Kai,,
"Junya Enoki,Adam McArthur,Yûichi Nakamura",2020– ,A boy swallows a cursed talisman - the finger of a demon - and becomes cursed himself. He enters a shaman's school to be able to locate the demon's other body parts and thus exorcise himself.,24,25,"Animation,Action,Adventure",,2 seasons,Japan,TV-MA,9,Jujutsu Kaisen,,
"Mayo Suzukaze,Junko Iwao,Nozomu Sasaki",1999,"In the era of Japan's Meiji Restoration, an assassin regains his humanity.",118,4,"Animation,Action,Adventure",,1 Season,Japan,TV-MA,9,Rurouni Kenshin: Trust and Betrayal,Rurouni Kenshin: Meiji Kenkaku Romantan: Tsuioku Hen,
"John Altschuler,Mike Judge,Dave Krinsky,Thomas Middleditch,T.J. Miller,Josh Brener",2014–2019,"Follows the struggle of Richard Hendricks, a Silicon Valley engineer trying to build his own company called Pied Piper.",28,53,Comedy,,6 seasons,United States,TV-MA,8,Silicon Valley,,
"Steven S. DeKnight,John Hannah,Manu Bennett,Peter Mensah",2011,"In the time before the arrival of Spartacus, the House of Batiatus faces many challenges from competitors, and within its own household.",331,6,"Action,Adventure,Biography",,1 Season,United States,TV-MA,8,Spartacus: Gods of the Arena,,
"Tom Hanks,Nick Searcy,Lane Smith",1998,Dramatized portrayal of the Apollo manned space program.,60,12,"Action,Drama,History",,1 Season,United States,TV-14,9,From the Earth to the Moon,,
"Mike Clattenburg,John Paul Tremblay,Robb Wells,Mike Smith",2001–2018,Three petty felons have a documentary made about their life in a trailer park.,30,106,"Comedy,Crime",,12 seasons,Canada,TV-MA,9,Trailer Park Boys,,
"Mackenzie Crook,Mackenzie Crook,Toby Jones,Gerard Horan",2014–2022,"The lives of two eccentric metal detectorists, who spend their days plodding along ploughed tracks and open fields, hoping to disturb the tedium by unearthing the fortune of a lifetime.",30,20,Comedy,,3 seasons,United Kingdom,TV-14,9,Detectorists,,
"Mark Frost,David Lynch,Kyle MacLachlan,Sheryl Lee,Michael Horse",2017,Picks up 25 years after the inhabitants of a quaint northwestern town are stunned when their homecoming queen is murdered.,60,18,"Crime,Drama,Horror",,1 Season,United States,TV-MA,8,Twin Peaks,,
"Vic Mignogna,Aaron Dismuke,Romi Park",2003–2004,"When a failed alchemical ritual leaves brothers Edward and Alphonse Elric with severely damaged bodies, they begin searching for the one thing that can save them: the fabled philosopher's stone.",24,51,"Animation,Action,Adventure",,1 Season,Japan,TV-PG,8,Fullmetal Alchemist,Hagane no renkinjutsushi,
"Hideaki Anno,Megumi Ogata,Megumi Hayashibara,Kotono Mitsuishi",1995–1996,A teenage boy finds himself recruited as a member of an elite team of pilots by his father.,24,26,"Animation,Action,Drama",,1 Season,Japan,TV-MA,8,Neon Genesis Evangelion,Shin seiki evangerion,
"Shaun Evans,Roger Allam,James Bradshaw",2012–2022,"Set from 1965 to 1971, the show follows Endeavour Morse in his early years as a police constable. Working alongside his senior partner DI Fred Thursday, Morse engages in a number of investigations around Oxford.",89,36,"Crime,Drama,Mystery",,9 seasons,United Kingdom,TV-14,9,Endeavour,,
"Sydney Newman,Jodie Whittaker,Peter Capaldi,Pearl Mackie",2005– ,The further adventures in time and space of the alien adventurer known as the Doctor and their companions from planet Earth.,45,201,"Adventure,Drama,Sci-Fi",,14 seasons,"United Kingdom,United States",TV-PG,9,Doctor Who,,
"Park Eun-bin,Kang Tae-oh,Kang Ki-young",2022,"About an autistic 27-year-old lawyer. Due to her high IQ of 164, impressive memory, and creative thought process, the brilliant Woo Young Woo graduated at the top of her class from a prestigious law school.",75,16,Drama,,1 Season,South Korea,TV-14,9,Extraordinary Attorney Woo,I-sang-han byeon-ho-sa U-yeong-u,
"Daniela Denby-Ashe,Richard Armitage,Tim Pigott-Smith",2004,"North and South is a four part adaptation of Elizabeth Gaskell's love story of Margaret Hale, a middle class southerner who is forced to move to the northern town of Milton.",235,4,"Drama,Romance",,1 Season,United Kingdom,TV-PG,9,North & South,,
"Kurt Sutter,Charlie Hunnam,Katey Sagal,Mark Boone Junior",2008–2014,A biker struggles to balance being a father and being involved in an outlaw motorcycle club.,45,92,"Crime,Drama,Thriller",,7 seasons,United States,TV-MA,9,Sons of Anarchy,,
"Kenan Imirzalioglu,Cansu Dere,Yigit Özsener",2009–2011,"Betrayed by his trusted friends and the woman he loved, Ömer Uçar returns as Ezel to exact his vengeance.",90,72,"Crime,Drama,Thriller",,2 seasons,Turkey,TV-14,9,Ezel,,
"Christopher Morris,Mark Heap,Kevin Eldon",1997–2001,,25,7,Comedy,,2 seasons,United Kingdom,TV-MA,9,Brass Eye,,
"Setsuo Ito,Takahiro Sakurai,Akio Ôtsuka",2016– ,"A psychic middle school boy tries to live a normal life and keep his growing powers under control, even though he constantly gets into trouble.",24,37,"Animation,Action,Comedy",,3 seasons,Japan,TV-14,9,Mob Psycho 100,,
"Julie Andem,Josefine Frida Pettersen,Iman Meskini,Ulrikke Falch",2015–2017,"The story of young teenagers and pupils on Hartvig Nissens upper secondary school in Oslo, and their troubles, scandals and everyday life. Each season is told from a different person's point of view.",30,43,"Drama,Romance",,4 seasons,Norway,Not Rated,9,Skam,,
"Genndy Tartakovsky,Phil LaMarr,Mako,Kevin Michael Richardson",2001–2017,"A samurai, sent through time, fights to return home and save the world.",25,62,"Animation,Action,Adventure",,5 seasons,United States,TV-MA,8,Samurai Jack,,
"Paul Abbott,John Wells,Emmy Rossum,William H. Macy,Ethan Cutkosky",2011–2021,"A scrappy, feisty, fiercely loyal Chicago family makes no apologies.",46,134,"Comedy,Drama",,11 seasons,United States,TV-MA,9,Shameless,,
"Mark Leveson,Dan Patterson,Drew Carey,Colin Mochrie,Ryan Stiles",1998–2007,Improvisational comedy competition show in which four members of the regular cast as comedians and often with guest appearances with other comedians and celebrities and members of the audience perform various comic games and sketches.,30,220,"Comedy,Game-Show",,8 seasons,"United States,United Kingdom",TV-PG,8,Whose Line Is It Anyway?,,
"Morgan Freeman,Sean Carroll,Michio Kaku",2010–2017,"Hosted by Morgan Freeman, Through the Wormhole will explore the deepest mysteries of existence - the questions that have puzzled mankind for eternity. What are we made of? What was there before the beginning? Are we really alone? Is there a creator? These questions have been pondered by the most exquisite minds of the human race. Now, science has evolved to the point ... ",60,62,Documentary,,8 seasons,United States,TV-PG,9,Through the Wormhole,,
"Lisa Joy,Jonathan Nolan,Evan Rachel Wood,Jeffrey Wright,Ed Harris",2016–2022,"At the intersection of the near future and the reimagined past, waits a world in which every human appetite can be indulged without consequence.",62,36,"Drama,Mystery,Sci-Fi",,4 seasons,United States,TV-MA,8,Westworld,,
"Ricky Gervais,Stephen Merchant,Ricky Gervais,Martin Freeman,Mackenzie Crook",2001–2003,The story of an office that faces closure when the company decides to downsize its branches. A documentary film crew follow staff and the manager David Brent as they continue their daily lives.,30,14,"Comedy,Drama",,3 seasons,United Kingdom,TV-MA,8,The Office,,
"Steven S. DeKnight,Andy Whitfield,Lucy Lawless,Manu Bennett",2010–2013,"The life of Spartacus, the gladiator who lead a rebellion against the Romans. From his time as an ally of the Romans, to his betrayal and becoming a gladiator, to the rebellion he leads and its ultimate outcome.",55,34,"Action,Adventure,Biography",,3 seasons,United States,TV-MA,8,Spartacus,Spartacus: Blood and Sand,
"Jared Keeso,Jacob Tierney,Jared Keeso,Nathan Dales,Michelle Mylett",2016– ,"Quick-witted, fast-paced snappy comedy about rural folk getting by in a small town.",30,68,Comedy,,10 seasons,Canada,TV-MA,9,Letterkenny,,
"Sam Esmail,Rami Malek,Christian Slater,Carly Chaikin",2015–2019,"Elliot, a brilliant but highly unstable young cyber-security engineer and vigilante hacker, becomes a key figure in a complex game of global dominance when he and his shadowy allies try to take down the corrupt corporation he works for.",49,45,"Crime,Drama,Thriller",,4 seasons,United States,TV-MA,9,Mr. Robot,,
"Steve Coogan,Simon Greenall,Felicity Montagu",1997–2002,,29,12,Comedy,,2 seasons,United Kingdom,TV-MA,9,I'm Alan Partridge,,
"Dragan Bjelogrlic,Andrija Kuzmanovic,Marija Bergam,Dragan Bjelogrlic",2017– ,,60,20,"Crime,Drama,Thriller",,2 seasons,Serbia,TV-MA,9,Black Sun,Senke nad Balkanom,
"Paul Eddington,Nigel Hawthorne,Derek Fowlds",1986–1987,,30,16,Comedy,,2 seasons,United Kingdom,TV-PG,9,"Yes, Prime Minister",,
"Louis C.K.,Louis C.K.,Hadley Delany,Ursula Parker",2010–2015,"The life of Louie C.K., a divorced comedian living in New York with two kids.",22,61,"Comedy,Drama",,5 seasons,United States,TV-MA,8,Louie,,
"Jemaine Clement,Kayvan Novak,Matt Berry,Natasia Demetriou",2019– ,A look into the daily (or rather nightly) lives of four vampires who've lived together on Staten Island for over a century.,30,42,"Comedy,Fantasy,Horror",,6 seasons,United States,TV-MA,9,What We Do in the Shadows,,
"Chris O'Dowd,Richard Ayoade,Katherine Parkinson",2006–2013,"The comedic misadventures of Roy, Moss and their grifting supervisor Jen, a rag-tag team of IT support workers at a large corporation headed by a hotheaded yuppie.",25,25,Comedy,,5 seasons,United Kingdom,TV-14,8,The IT Crowd,,
"Kazuya Nakai,Ginpei Sato,Ayako Kawasumi",2004–2005,"Fuu, a waitress who works in a teahouse, rescues two master swordsmen, Mugen and Jin, from their execution to help her find the ""samurai who smells of sunflowers.""",24,26,"Animation,Action,Adventure",,1 Season,Japan,TV-MA,9,Samurai Champloo,Samurai chanpurû,
"Eric Rochant,Mathieu Kassovitz,Florence Loiret Caille,Jonathan Zaccaï",2015– ,"After six years of undercover work in Syria, French intelligence officer Malotru returns home, where he struggles to forget his undercover identity, train a young recruit, and investigate when a colleague disappears in Algeria.",52,50,"Drama,Thriller",,5 seasons,France,TV-MA,9,The Bureau,Le Bureau des Légendes,
"David Alexanian,Charley Boorman,Russ Malkin,Ewan McGregor,Charley Boorman,David Alexanian",2004–2010,"This documentary series follows actors Ewan McGregor and Charley Boorman on a motorcycle trip around the world. The two friends will travel through such places as Siberia, Kazakhstan, Mongolia, and Alaska, before finally ending the journey in New York. The filming will be done by on board cameras and one ride along cameraman.",315,10,"Documentary,Adventure",,1 Season,United Kingdom,TV-PG,9,Long Way Round,,
"Krishna D.K.,Raj Nidimoru,Manoj Bajpayee,Samantha Ruth Prabhu,Priyamani",2019– ,"A working man from the National Investigation Agency tries to protect the nation from terrorism, but he also needs to keep his family safe from his secret job.",45,20,"Action,Comedy,Drama",,2 seasons,India,TV-14,9,The Family Man,,
"Roberto Gómez Bolaños,Ramón Valdés,Carlos Villagrán,Roberto Gómez Bolaños",1972–1983,,30,351,"Comedy,Family",,8 seasons,Mexico,TV-PG,9,El Chavo del Ocho,,
"Paul Attanasio,Richard Belzer,Clark Johnson,Yaphet Kotto",1993–1999,Life on the Street is an American police procedural television series chronicling the work of a fictional version of the Baltimore Police Department's Homicide Unit.,60,122,"Crime,Drama,Mystery",,7 seasons,United States,TV-14,9,Homicide: Life on the Street,,
"Edward James Olmos,Mary McDonnell,Katee Sackhoff",2003,"Following the destruction of the Twelve Colonies of Kobol by the Cylons, a rag-tag fugitive fleet of the last remnants of mankind flees the pursuing Cylons while simultaneously searching for their true home: Earth.",183,2,"Action,Adventure,Drama",,1 Season,United States,TV-14,8,Battlestar Galactica,,
"Simon Pegg,Jessica Hynes,Julia Deakin",1999–2001,"Friends Tim and Daisy, 20-something North Londoners with uncertain futures, must pretend to be a couple to live in the only apartment they can afford.",25,14,"Action,Comedy",,2 seasons,United Kingdom,TV-14,9,Spaced,,
"Jack Davenport,Gina Bellman,Sarah Alexander",2000–2004,,30,28,"Comedy,Romance",,4 seasons,United Kingdom,TV-14,9,Coupling,,
"Christopher McCulloch,Christopher McCulloch,James Urbaniak,Doc Hammer",2003–2018,"The bizarre escapades of pseudo-heroic scientist Dr. Rusty Venture, his competent, high-strung bodyguard, and his two overenthusiastic sons.",22,86,"Animation,Action,Adventure",,7 seasons,United States,TV-MA,9,The Venture Bros.,,
"Bob Kane,William Moulton Marston,Joe Shuster,Carl Lumbly,Phil LaMarr,Michael Rosenbaum",2001–2004,Seven of the most formidable heroes form arguably the most powerful team ever.,22,52,"Animation,Action,Adventure",,2 seasons,United States,TV-PG,9,Justice League,,
"Brice Armstrong,Steve Olson,Stephanie Nadolny",1995–2003,"Dragon Ball tells the tale of a young warrior by the name of Son Goku, a young peculiar boy with a tail who embarks on a quest to become stronger and learns of the Dragon Balls, when, once all 7 are gathered, grant any wish of choice.",24,153,"Animation,Action,Adventure",,9 seasons,Japan,TV-14,9,Dragon Ball,,
"Masako Nozawa,Jôji Yanami,Brice Armstrong",1986–1989,"Son Gokû, a fighter with a monkey tail, goes on a quest with an assortment of odd characters in search of the Dragon Balls, a set of crystals that can give its bearer anything they desire.",24,153,"Animation,Action,Adventure",,1 Season,Japan,TV-14,9,Dragon Ball,Dragon Ball: Doragon bôru,
"Kikunosuke Toya,Ryan Colt Levy,Tomori Kusunoki",2022– ,,25,12,"Animation,Action,Adventure",,1 Season,Japan,TV-MA,9,Chainsaw Man,,
"James Bobin,Jemaine Clement,Bret McKenzie,Jemaine Clement,Bret McKenzie,Rhys Darby",2007–2009,"Bret and Jemaine are Flight of the Conchords, a folk-rock band from New Zealand living in New York City in search of stardom.",28,22,"Comedy,Music,Musical",,2 seasons,"United States,New Zealand",TV-MA,9,Flight of the Conchords,,
"Leslie Greif,Michael Tolkin,Miles Teller,Matthew Goode,Dan Fogler",2022,Oscar-winning producer Albert S. Ruddy's never-before-revealed experiences of making The Godfather (1972).,586,10,"Biography,Drama",,1 Season,United States,TV-MA,9,The Offer,,
"James Murray,Brian Quinn,Sal Vulcano",2011– ,"Q, Sal, Joe and Murr are real-life best friends who love challenging each other to the most outrageous dares and stunts ever caught on hidden camera.",30,267,"Comedy,Reality-TV",,9 seasons,United States,TV-14,9,Impractical Jokers,,
"Scott Frank,Allan Scott,Anya Taylor-Joy,Chloe Pirrie,Bill Camp",2020,"Orphaned at the tender age of nine, prodigious introvert Beth Harmon discovers and masters the game of chess in 1960s USA. But child stardom comes at a price.",60,7,Drama,,1 Season,United States,TV-MA,9,The Queen's Gambit,,
"Will Buxton,Jack Nicholls,Lewis Hamilton",2019– ,Docuseries following the FIA Formula One World Championship across multiple seasons.,40,42,"Documentary,Sport",,5 seasons,United Kingdom,TV-MA,9,Formula 1: Drive to Survive,,
"Steven Canals,Brad Falchuk,Ryan Murphy,Michaela Jaé (MJ) Rodriguez,Dominique Jackson,Indya Moore",2018–2021,"In the New York of the late '80s and early '90s, this is a story of ball culture and the gay and trans community, the raging AIDS crisis, and capitalism.",60,26,Drama,,3 seasons,United States,TV-MA,9,Pose,,
"Hyun Bin,Son Ye-jin,Seo Ji-hye",2019–2020,The absolute top secret love story of a chaebol heiress who made an emergency landing in North Korea because of a paragliding accident and a North Korean special officer who falls in love with her and who is hiding and protecting her.,70,19,"Adventure,Comedy,Romance",,1 Season,South Korea,TV-14,9,Crash Landing on You,Sa-rang-eui bul-sa-chak,
"Mel Blanc,Pinto Colvig,Joe Bronx",1960–1975,,30,78,"Animation,Comedy",,3 seasons,United States,TV-G,9,The Bugs Bunny Show,,
"Mike Flanagan,Michiel Huisman,Carla Gugino,Henry Thomas",2018,"Flashing between past and present, a fractured family confronts haunting memories of their old home and the terrifying events that drove them from it.",572,10,"Drama,Horror,Mystery",,1 Season,United States,TV-MA,9,The Haunting of Hill House,,
"Steven Avery,Dolores Avery,Laura Nirider",2015–2018,"Filmed over a 10-year period, Steven Avery, a DNA exoneree who, while in the midst of exposing corruption in local law enforcement, finds himself the prime suspect in a grisly new crime.",60,20,"Documentary,Crime",,2 seasons,United States,TV-14,9,Making a Murderer,,
"Eric André,Eric André,Hannibal Buress,Tom Ato",2012– ,"Eric Andre tries to host a talk show in a bizarre environment, where he is sometimes the player of pranks and sometimes the victim.",11,60,"Comedy,Talk-Show",,6 seasons,United States,TV-MA,9,The Eric Andre Show,,
