acteurs,date,descriptions,duree,genre,pays,public,score,titre,titre_original
"Natsuki Hanae,Risa Taneda,Ayane Sakura",2014–2015,A piano prodigy who lost his ability to play after suffering a traumatic event in his childhood is forced back into the spotlight by an eccentric girl with a secret of her own.,23,"Animation,Comedy,Drama",Japan,TV-PG,8.6,Your Lie in April,Original title: Shigatsu wa kimi no uso
"Reg Watson,Lara Radulovich,Kate Atkinson,Katrina Milosevic,Robbie Magasiva",2013–2021,The confronting look into the lives of the inmates and prison staff of Wentworth Correctional Centre as they navigate the ups and downs of their lives in the prison system.,45,"Crime,Drama,Thriller",Australia,TV-MA,8.6,Wentworth,
"David E. Kelley,Reese Witherspoon,Nicole Kidman,Shailene Woodley",2017–2019,The apparently-perfect lives of upper-class mothers of students at a prestigious elementary school unravel to the point of murder when a single mother moves to their quaint California beach town.,60,"Crime,Drama,Mystery",United States,TV-MA,8.5,Big Little Lies,
"Saverio Costanzo,Alba Rohrwacher,Margherita Mazzucco,Gaia Girace",2018– ,A woman recounts the lifelong friendship and conflicts with a girl she met at primary school in Naples during the early 1950s.,60,Drama,"Italy,United States",TV-MA,8.6,My Brilliant Friend,Original title: L'amica geniale
"J.G. Quintel,J.G. Quintel,William Salyers,Sam Marin",2009–2017,The daily surreal adventures of a blue jay and raccoon duo that attempt to deal with their mundane jobs as groundskeepers at the local park.,23,"Animation,Action,Adventure",United States,TV-PG,8.5,Regular Show,
"James Rolfe,James Rolfe,Mike Matei,Kyle Justin",2004– ,,35,Comedy,United States,TV-MA,8.5,The Angry Video Game Nerd,
"Alexander Skarsgård,James Ransone,Lee Tergesen",2008,"A Rolling Stone reporter, embedded with The 1st Recon Marines chronicles his experiences during the first wave of the American-led assault on Baghdad in 2003.",70,"Drama,War","United States,United Kingdom",TV-MA,8.5,Generation Kill,
"Richard Price,Steven Zaillian,Riz Ahmed,John Turturro,Bill Camp",2016,"After a night of partying with a woman he picked up, a man wakes up to find her stabbed to death and is charged with her murder.",525,"Crime,Drama,Mystery",United States,TV-MA,8.5,The Night Of,
"Massimo Bottura,Ruth Reichl,Francis Mallmann",2015–2019,"Chef's Table goes inside the lives and kitchens of six of the world's most renowned international chefs. Each episode focuses on a single chef and their unique look at their lives, talents and passion from their piece of culinary heaven.",50,Documentary,United States,TV-MA,8.5,Chef's Table,
"Scott Ryan,Scott Ryan,Chika Yasumura,Justin Rosniak",2018–2021,"Ray Shoesmith is a father, ex-husband, boyfriend, brother and best friend, tough roles to juggle in the modern age. Especially when you're also a criminal for hire.",30,"Crime,Drama",Australia,TV-MA,8.6,Mr Inbetween,
"Daniel Abraham,Mark Fergus,Ty Franck,Steven Strait,Dominique Tipper,Wes Chatham",2015–2022,"In the 24th century, a group of humans untangle a vast plot which threatens the Solar System's fragile state of detente.",60,"Drama,Mystery,Sci-Fi",United States,TV-14,8.5,The Expanse,
"Dan Harmon,Joel McHale,Danny Pudi,Donald Glover",2009–2015,A suspended lawyer is forced to enroll in a community college with an eccentric staff and student body.,22,Comedy,United States,TV-14,8.5,Community,
"Bryan Fuller,Hugh Dancy,Mads Mikkelsen,Caroline Dhavernas",2013–2015,Explores the early relationship between renowned psychiatrist Hannibal Lecter and a young FBI criminal profiler who is haunted by his ability to empathize with serial killers.,44,"Crime,Drama,Horror",United States,TV-MA,8.5,Hannibal,
"Ryan J. Condal,George R.R. Martin,Rhys Ifans,Matt Smith,Fabien Frankel",2022– ,"An internal succession war within House Targaryen at the height of its power, 172 years before the birth of Daenerys Targaryen.",0,"Action,Adventure,Drama",United States,TV-MA,8.5,House of the Dragon,
"Serban Pavlu,Maria Obretin,Andreea Vasile",2014–2019,"Umbre follows Relu, an enforcer for a small-time mob boss, as he struggles to keep his family in the dark about his job. The secrets Relu keeps become increasingly oppressive and the lies begin to surface.",45,"Crime,Drama,Thriller",Romania,TV-MA,8.8,Umbre,
"David X. Cohen,Matt Groening,Billy West,John DiMaggio,Katey Sagal",1999–2023,"Philip J. Fry, a pizza delivery boy, is accidentally frozen in 1999 and thawed out on New Year's Eve 2999.",22,"Animation,Adventure,Comedy",United States,TV-14,8.5,Futurama,
"Mayo Suzukaze,Junko Iwao,Nozomu Sasaki",1999,"In the era of Japan's Meiji Restoration, an assassin regains his humanity.",118,"Animation,Action,Adventure",Japan,TV-MA,8.6,Rurouni Kenshin: Trust and Betrayal,Original title: Rurouni Kenshin: Meiji Kenkaku Romantan: Tsuioku Hen
"Josh Heald,Jon Hurwitz,Hayden Schlossberg,Ralph Macchio,William Zabka,Courtney Henggeler",2018– ,"Decades after their 1984 All Valley Karate Tournament bout, a middle-aged Daniel LaRusso and Johnny Lawrence find themselves martial-arts rivals again.",30,"Action,Comedy,Drama",United States,TV-14,8.5,Cobra Kai,
"Dan Levy,Eugene Levy,Eugene Levy,Catherine O'Hara,Dan Levy",2015–2020,"After being a victim of fraud, Johnny Rose and his family go from extremely wealthy to penniless overnight. The only asset left to them is a small, unsophisticated town: Schitt's Creek. They relocate there. Culture shock ensues.",22,Comedy,"Canada,United States",TV-14,8.5,Schitt's Creek,
"Junya Enoki,Adam McArthur,Yûichi Nakamura",2020– ,A boy swallows a cursed talisman - the finger of a demon - and becomes cursed himself. He enters a shaman's school to be able to locate the demon's other body parts and thus exorcise himself.,24,"Animation,Action,Adventure",Japan,TV-MA,8.6,Jujutsu Kaisen,
"Steven S. DeKnight,John Hannah,Manu Bennett,Peter Mensah",2011,"In the time before the arrival of Spartacus, the House of Batiatus faces many challenges from competitors, and within its own household.",331,"Action,Adventure,Biography",United States,TV-MA,8.5,Spartacus: Gods of the Arena,
"Tom Hanks,Nick Searcy,Lane Smith",1998,Dramatized portrayal of the Apollo manned space program.,60,"Action,Drama,History",United States,TV-14,8.6,From the Earth to the Moon,
"Mark Frost,David Lynch,Kyle MacLachlan,Sheryl Lee,Michael Horse",2017,Picks up 25 years after the inhabitants of a quaint northwestern town are stunned when their homecoming queen is murdered.,60,"Crime,Drama,Horror",United States,TV-MA,8.5,Twin Peaks,
"John Altschuler,Mike Judge,Dave Krinsky,Thomas Middleditch,T.J. Miller,Josh Brener",2014–2019,"Follows the struggle of Richard Hendricks, a Silicon Valley engineer trying to build his own company called Pied Piper.",28,Comedy,United States,TV-MA,8.5,Silicon Valley,
"Mike Clattenburg,John Paul Tremblay,Robb Wells,Mike Smith",2001–2018,Three petty felons have a documentary made about their life in a trailer park.,30,"Comedy,Crime",Canada,TV-MA,8.6,Trailer Park Boys,
"Mackenzie Crook,Mackenzie Crook,Toby Jones,Gerard Horan",2014–2022,"The lives of two eccentric metal detectorists, who spend their days plodding along ploughed tracks and open fields, hoping to disturb the tedium by unearthing the fortune of a lifetime.",30,Comedy,United Kingdom,TV-14,8.6,Detectorists,
"Shaun Evans,Roger Allam,James Bradshaw",2012–2022,"Set from 1965 to 1971, the show follows Endeavour Morse in his early years as a police constable. Working alongside his senior partner DI Fred Thursday, Morse engages in a number of investigations around Oxford.",89,"Crime,Drama,Mystery",United Kingdom,TV-14,8.6,Endeavour,
"Sydney Newman,Jodie Whittaker,Peter Capaldi,Pearl Mackie",2005– ,The further adventures in time and space of the alien adventurer known as the Doctor and their companions from planet Earth.,45,"Adventure,Drama,Sci-Fi","United Kingdom,United States",TV-PG,8.6,Doctor Who,
"Kurt Sutter,Charlie Hunnam,Katey Sagal,Mark Boone Junior",2008–2014,A biker struggles to balance being a father and being involved in an outlaw motorcycle club.,45,"Crime,Drama,Thriller",United States,TV-MA,8.6,Sons of Anarchy,
"Park Eun-bin,Kang Tae-oh,Kang Ki-young",2022,"About an autistic 27-year-old lawyer. Due to her high IQ of 164, impressive memory, and creative thought process, the brilliant Woo Young Woo graduated at the top of her class from a prestigious law school.",75,Drama,South Korea,TV-14,8.7,Extraordinary Attorney Woo,Original title: I-sang-han byeon-ho-sa U-yeong-u
"Hideaki Anno,Megumi Ogata,Megumi Hayashibara,Kotono Mitsuishi",1995–1996,A teenage boy finds himself recruited as a member of an elite team of pilots by his father.,24,"Animation,Action,Drama",Japan,TV-MA,8.5,Neon Genesis Evangelion,Original title: Shin seiki evangerion
"Daniela Denby-Ashe,Richard Armitage,Tim Pigott-Smith",2004,"North and South is a four part adaptation of Elizabeth Gaskell's love story of Margaret Hale, a middle class southerner who is forced to move to the northern town of Milton.",235,"Drama,Romance",United Kingdom,TV-PG,8.6,North & South,
"Setsuo Ito,Takahiro Sakurai,Akio Ôtsuka",2016– ,"A psychic middle school boy tries to live a normal life and keep his growing powers under control, even though he constantly gets into trouble.",24,"Animation,Action,Comedy",Japan,TV-14,8.6,Mob Psycho 100,
"Kenan Imirzalioglu,Cansu Dere,Yigit Özsener",2009–2011,"Betrayed by his trusted friends and the woman he loved, Ömer Uçar returns as Ezel to exact his vengeance.",90,"Crime,Drama,Thriller",Turkey,TV-14,8.7,Ezel,
"Vic Mignogna,Aaron Dismuke,Romi Park",2003–2004,"When a failed alchemical ritual leaves brothers Edward and Alphonse Elric with severely damaged bodies, they begin searching for the one thing that can save them: the fabled philosopher's stone.",24,"Animation,Action,Adventure",Japan,TV-PG,8.5,Fullmetal Alchemist,Original title: Hagane no renkinjutsushi
"Genndy Tartakovsky,Phil LaMarr,Mako,Kevin Michael Richardson",2001–2017,"A samurai, sent through time, fights to return home and save the world.",25,"Animation,Action,Adventure",United States,TV-MA,8.5,Samurai Jack,
"Julie Andem,Josefine Frida Pettersen,Iman Meskini,Ulrikke Falch",2015–2017,"The story of young teenagers and pupils on Hartvig Nissens upper secondary school in Oslo, and their troubles, scandals and everyday life. Each season is told from a different person's point of view.",30,"Drama,Romance",Norway,Not Rated,8.6,Skam,
"Steven S. DeKnight,Andy Whitfield,Lucy Lawless,Manu Bennett",2010–2013,"The life of Spartacus, the gladiator who lead a rebellion against the Romans. From his time as an ally of the Romans, to his betrayal and becoming a gladiator, to the rebellion he leads and its ultimate outcome.",55,"Action,Adventure,Biography",United States,TV-MA,8.5,Spartacus,Original title: Spartacus: Blood and Sand
"Paul Abbott,John Wells,Emmy Rossum,William H. Macy,Ethan Cutkosky",2011–2021,"A scrappy, feisty, fiercely loyal Chicago family makes no apologies.",46,"Comedy,Drama",United States,TV-MA,8.6,Shameless,
"Christopher Morris,Mark Heap,Kevin Eldon",1997–2001,,25,Comedy,United Kingdom,TV-MA,8.6,Brass Eye,
"Morgan Freeman,Sean Carroll,Michio Kaku",2010–2017,"Hosted by Morgan Freeman, Through the Wormhole will explore the deepest mysteries of existence - the questions that have puzzled mankind for eternity. What are we made of? What was there before the beginning? Are we really alone? Is there a creator? These questions have been pondered by the most exquisite minds of the human race. Now, science has evolved to the point ..., ",60,Documentary,United States,TV-PG,8.6,Through the Wormhole,
"Mark Leveson,Dan Patterson,Drew Carey,Colin Mochrie,Ryan Stiles",1998–2007,Improvisational comedy competition show in which four members of the regular cast as comedians and often with guest appearances with other comedians and celebrities and members of the audience perform various comic games and sketches.,30,"Comedy,Game-Show","United States,United Kingdom",TV-PG,8.5,Whose Line Is It Anyway?,
"Lisa Joy,Jonathan Nolan,Evan Rachel Wood,Jeffrey Wright,Ed Harris",2016–2022,"At the intersection of the near future and the reimagined past, waits a world in which every human appetite can be indulged without consequence.",62,"Drama,Mystery,Sci-Fi",United States,TV-MA,8.5,Westworld,
"Ricky Gervais,Stephen Merchant,Ricky Gervais,Martin Freeman,Mackenzie Crook",2001–2003,The story of an office that faces closure when the company decides to downsize its branches. A documentary film crew follow staff and the manager David Brent as they continue their daily lives.,30,"Comedy,Drama",United Kingdom,TV-MA,8.5,The Office,
"Louis C.K.,Louis C.K.,Hadley Delany,Ursula Parker",2010–2015,"The life of Louie C.K., a divorced comedian living in New York with two kids.",22,"Comedy,Drama",United States,TV-MA,8.5,Louie,
"Sam Esmail,Rami Malek,Christian Slater,Carly Chaikin",2015–2019,"Elliot, a brilliant but highly unstable young cyber-security engineer and vigilante hacker, becomes a key figure in a complex game of global dominance when he and his shadowy allies try to take down the corrupt corporation he works for.",49,"Crime,Drama,Thriller",United States,TV-MA,8.6,Mr. Robot,
"Chris O'Dowd,Richard Ayoade,Katherine Parkinson",2006–2013,"The comedic misadventures of Roy, Moss and their grifting supervisor Jen, a rag-tag team of IT support workers at a large corporation headed by a hotheaded yuppie.",25,Comedy,United Kingdom,TV-14,8.5,The IT Crowd,
"Steve Coogan,Simon Greenall,Felicity Montagu",1997–2002,,29,Comedy,United Kingdom,TV-MA,8.6,I'm Alan Partridge,
"Jared Keeso,Jacob Tierney,Jared Keeso,Nathan Dales,Michelle Mylett",2016– ,"Quick-witted, fast-paced snappy comedy about rural folk getting by in a small town.",30,Comedy,Canada,TV-MA,8.7,Letterkenny,
"Kazuya Nakai,Ginpei Sato,Ayako Kawasumi",2004–2005,"Fuu, a waitress who works in a teahouse, rescues two master swordsmen, Mugen and Jin, from their execution to help her find the ""samurai who smells of sunflowers.""",24,"Animation,Action,Adventure",Japan,TV-MA,8.6,Samurai Champloo,Original title: Samurai chanpurû
"Dragan Bjelogrlic,Andrija Kuzmanovic,Marija Bergam,Dragan Bjelogrlic",2017– ,,60,"Crime,Drama,Thriller",Serbia,TV-MA,8.9,Black Sun,Original title: Senke nad Balkanom
"Krishna D.K.,Raj Nidimoru,Manoj Bajpayee,Samantha Ruth Prabhu,Priyamani",2019– ,"A working man from the National Investigation Agency tries to protect the nation from terrorism, but he also needs to keep his family safe from his secret job.",45,"Action,Comedy,Drama",India,TV-14,8.7,The Family Man,
"Paul Eddington,Nigel Hawthorne,Derek Fowlds",1986–1987,,30,Comedy,United Kingdom,TV-PG,8.6,"Yes, Prime Minister",
"David Alexanian,Charley Boorman,Russ Malkin,Ewan McGregor,Charley Boorman,David Alexanian",2004–2010,"This documentary series follows actors Ewan McGregor and Charley Boorman on a motorcycle trip around the world. The two friends will travel through such places as Siberia, Kazakhstan, Mongolia, and Alaska, before finally ending the journey in New York. The filming will be done by on board cameras and one ride along cameraman.",315,"Documentary,Adventure",United Kingdom,TV-PG,8.6,Long Way Round,
"Jemaine Clement,Kayvan Novak,Matt Berry,Natasia Demetriou",2019– ,A look into the daily (or rather nightly) lives of four vampires who've lived together on Staten Island for over a century.,30,"Comedy,Fantasy,Horror",United States,TV-MA,8.6,What We Do in the Shadows,
"Roberto Gómez Bolaños,Ramón Valdés,Carlos Villagrán,Roberto Gómez Bolaños",1972–1983,,30,"Comedy,Family",Mexico,TV-PG,8.7,El Chavo del Ocho,
"Eric Rochant,Mathieu Kassovitz,Florence Loiret Caille,Jonathan Zaccaï",2015– ,"After six years of undercover work in Syria, French intelligence officer Malotru returns home, where he struggles to forget his undercover identity, train a young recruit, and investigate when a colleague disappears in Algeria.",52,"Drama,Thriller",France,TV-MA,8.7,The Bureau,Original title: Le Bureau des Légendes
"Paul Attanasio,Richard Belzer,Clark Johnson,Yaphet Kotto",1993–1999,Life on the Street is an American police procedural television series chronicling the work of a fictional version of the Baltimore Police Department's Homicide Unit.,60,"Crime,Drama,Mystery",United States,TV-14,8.7,Homicide: Life on the Street,
"Edward James Olmos,Mary McDonnell,Katee Sackhoff",2003,"Following the destruction of the Twelve Colonies of Kobol by the Cylons, a rag-tag fugitive fleet of the last remnants of mankind flees the pursuing Cylons while simultaneously searching for their true home: Earth.",183,"Action,Adventure,Drama",United States,TV-14,8.5,Battlestar Galactica,
"Simon Pegg,Jessica Hynes,Julia Deakin",1999–2001,"Friends Tim and Daisy, 20-something North Londoners with uncertain futures, must pretend to be a couple to live in the only apartment they can afford.",25,"Action,Comedy",United Kingdom,TV-14,8.6,Spaced,
"Brice Armstrong,Steve Olson,Stephanie Nadolny",1995–2003,"Dragon Ball tells the tale of a young warrior by the name of Son Goku, a young peculiar boy with a tail who embarks on a quest to become stronger and learns of the Dragon Balls, when, once all 7 are gathered, grant any wish of choice.",24,"Animation,Action,Adventure",Japan,TV-14,8.6,Dragon Ball,
"Christopher McCulloch,Christopher McCulloch,James Urbaniak,Doc Hammer",2003–2018,"The bizarre escapades of pseudo-heroic scientist Dr. Rusty Venture, his competent, high-strung bodyguard, and his two overenthusiastic sons.",22,"Animation,Action,Adventure",United States,TV-MA,8.6,The Venture Bros.,
"Jack Davenport,Gina Bellman,Sarah Alexander",2000–2004,,30,"Comedy,Romance",United Kingdom,TV-14,8.6,Coupling,
"Masako Nozawa,Jôji Yanami,Brice Armstrong",1986–1989,"Son Gokû, a fighter with a monkey tail, goes on a quest with an assortment of odd characters in search of the Dragon Balls, a set of crystals that can give its bearer anything they desire.",24,"Animation,Action,Adventure",Japan,TV-14,8.6,Dragon Ball,Original title: Dragon Ball: Doragon bôru
"Kikunosuke Toya,Ryan Colt Levy,Tomori Kusunoki",2022– ,,25,"Animation,Action,Adventure",Japan,TV-MA,8.8,Chainsaw Man,
"Bob Kane,William Moulton Marston,Joe Shuster,Carl Lumbly,Phil LaMarr,Michael Rosenbaum",2001–2004,Seven of the most formidable heroes form arguably the most powerful team ever.,22,"Animation,Action,Adventure",United States,TV-PG,8.6,Justice League,
"James Bobin,Jemaine Clement,Bret McKenzie,Jemaine Clement,Bret McKenzie,Rhys Darby",2007–2009,"Bret and Jemaine are Flight of the Conchords, a folk-rock band from New Zealand living in New York City in search of stardom.",28,"Comedy,Music,Musical","United States,New Zealand",TV-MA,8.6,Flight of the Conchords,
"Will Buxton,Jack Nicholls,Lewis Hamilton",2019– ,Docuseries following the FIA Formula One World Championship across multiple seasons.,40,"Documentary,Sport",United Kingdom,TV-MA,8.6,Formula 1: Drive to Survive,
"James Murray,Brian Quinn,Sal Vulcano",2011– ,"Q, Sal, Joe and Murr are real-life best friends who love challenging each other to the most outrageous dares and stunts ever caught on hidden camera.",30,"Comedy,Reality-TV",United States,TV-14,8.6,Impractical Jokers,
"Leslie Greif,Michael Tolkin,Miles Teller,Matthew Goode,Dan Fogler",2022,Oscar-winning producer Albert S. Ruddy's never-before-revealed experiences of making The Godfather (1972).,586,"Biography,Drama",United States,TV-MA,8.7,The Offer,
"Scott Frank,Allan Scott,Anya Taylor-Joy,Chloe Pirrie,Bill Camp",2020,"Orphaned at the tender age of nine, prodigious introvert Beth Harmon discovers and masters the game of chess in 1960s USA. But child stardom comes at a price.",60,Drama,United States,TV-MA,8.6,The Queen's Gambit,
"Steven Canals,Brad Falchuk,Ryan Murphy,Michaela Jaé (MJ) Rodriguez,Dominique Jackson,Indya Moore",2018–2021,"In the New York of the late '80s and early '90s, this is a story of ball culture and the gay and trans community, the raging AIDS crisis, and capitalism.",60,Drama,United States,TV-MA,8.6,Pose,
"Mel Blanc,Pinto Colvig,Joe Bronx",1960–1975,,30,"Animation,Comedy",United States,TV-G,8.6,The Bugs Bunny Show,
"Hyun Bin,Son Ye-jin,Seo Ji-hye",2019–2020,The absolute top secret love story of a chaebol heiress who made an emergency landing in North Korea because of a paragliding accident and a North Korean special officer who falls in love with her and who is hiding and protecting her.,70,"Adventure,Comedy,Romance",South Korea,TV-14,8.7,Crash Landing on You,Original title: Sa-rang-eui bul-sa-chak
"Aaron Sorkin,Jeff Daniels,Emily Mortimer,John Gallagher Jr.",2012–2014,"A newsroom undergoes some changes in its workings and morals as a new team is brought in, bringing unexpected results for its existing news anchor.",55,Drama,United States,TV-MA,8.6,The Newsroom,
"Eric André,Eric André,Hannibal Buress,Tom Ato",2012– ,"Eric Andre tries to host a talk show in a bizarre environment, where he is sometimes the player of pranks and sometimes the victim.",11,"Comedy,Talk-Show",United States,TV-MA,8.6,The Eric Andre Show,
"Mike Flanagan,Michiel Huisman,Carla Gugino,Henry Thomas",2018,"Flashing between past and present, a fractured family confronts haunting memories of their old home and the terrifying events that drove them from it.",572,"Drama,Horror,Mystery",United States,TV-MA,8.6,The Haunting of Hill House,
"Terence Winter,Steve Buscemi,Kelly Macdonald,Michael Shannon",2010–2014,An Atlantic City politician plays both sides of the law by conspiring with gangsters during the Prohibition era.,55,"Crime,Drama",United States,TV-MA,8.6,Boardwalk Empire,
"Graham Yost,Timothy Olyphant,Nick Searcy,Joelle Carter",2010–2015,"U.S. Marshal Raylan Givens is reassigned from Miami to his childhood home in the poor, rural coal mining towns of eastern Kentucky.",44,"Action,Crime,Drama",United States,TV-MA,8.6,Justified,
"Steven Avery,Dolores Avery,Laura Nirider",2015–2018,"Filmed over a 10-year period, Steven Avery, a DNA exoneree who, while in the midst of exposing corruption in local law enforcement, finds himself the prime suspect in a grisly new crime.",60,"Documentary,Crime",United States,TV-14,8.6,Making a Murderer,
"David Suchet,Hugh Fraser,Philip Jackson",1989–2013,"The cases of eccentric, but sharp, Belgian detective Hercule Poirot.",100,"Crime,Drama,Mystery",United Kingdom,TV-14,8.6,Poirot,
"Paul Eddington,Nigel Hawthorne,Derek Fowlds",1980–1984,"The Right Honorable James Hacker has landed the plum job of Cabinet Minister to the Department of Administration. At last he is in a position of power and can carry out some long-needed reforms, or so he thinks.",30,Comedy,United Kingdom,TV-PG,8.7,Yes Minister,
